date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:57	23900/23900	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/6.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/6.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:57	38070/38070	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/8.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/8.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:57	41472/41472	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/7.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/7.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:58	12248/12248	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/b2.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/b2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:58	20258/20258	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/b3.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/b3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:58	39482/39482	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m1.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:59	151708/151708	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/banner1.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/banner1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:59	22294/22294	---M--	200	added ('OK')	image/jpeg	etag:%221573816344%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m2.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:59	61880/61880	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m3.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
15:08:59	32021/32021	---M--	200	added ('OK')	image/jpeg	etag:%221573816345%22	https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m4.jpg	C:/xampp/htdocs/theme/neel/demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/images/m4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/12-04-2018/weblog-demo_Free/158935800/web/index.html)
